128 2
sum_of_four_sinusoids	burst_signal, sum_of_three_Gabor_atoms
0.0090231	0.0840359	0.0381760
1.2797636	0.1547192	0.0175472
1.5900024	0.2953700	-0.0781303
1.4016899	0.3127730	-0.0606853
1.3407642	0.3040786	0.0095189
1.3812664	0.1149982	-0.1020665
1.3133531	0.0474215	0.0571758
0.7763893	-0.1972840	0.0564946
0.6325720	-0.2479529	-0.0285218
1.0373967	-0.4130644	-0.0309639
1.3414799	-0.1829753	0.0685792
0.7724969	-0.2439753	-0.0237964
-0.4425356	-0.1223611	-0.0707331
-0.9027464	0.0311770	-0.0163239
-0.6570287	0.1583225	-0.0471680
-0.2363700	0.1554934	-0.0751032
0.0375453	0.2722453	0.0115150
0.0653298	0.2952625	-0.0103386
0.6276483	0.1115747	-0.0332512
0.8688637	0.0673705	0.0047016
0.4125122	-0.1007433	-0.0619338
-0.7332930	-0.3048419	0.0317176
-1.3389167	-0.2399467	-0.0158854
-1.1644294	-0.2826540	-0.0411435
-0.6255038	-0.2600326	0.0579845
-0.7800031	-0.1221574	0.0527886
-1.2592881	0.0819961	0.0089794
-1.3314354	0.1546469	0.0463734
-1.2077541	0.2991413	0.1099391
-1.5155181	0.3552098	-0.0245089
-1.6809411	0.2349887	-0.1296679
-1.3189347	0.1351773	-0.2307537
-0.0336219	0.0105174	-0.1800791
1.4026148	-0.2443457	-0.1306425
1.6299757	-0.1689520	-0.1678266
1.3594766	-0.2995167	-0.0431885
1.2777797	-0.2700420	0.1170170
1.4120849	-0.2436292	0.3046038
1.1918241	-0.0661828	0.4847284
0.8436110	0.2115034	0.4486909
0.5807336	0.1917815	0.5549634
0.9719578	0.2902471	0.1206495
1.3742575	0.3320731	-0.1735649
0.7087326	0.2101947	-0.4024760
-0.3415143	0.1846506	-0.6434937
-0.9727946	-0.0145719	-0.8432988
-0.6282655	-0.1885066	-0.7803312
-0.1577349	-0.2989837	-0.4518218
-0.0210997	-0.2955458	0.0099527
0.0756929	-0.2716128	0.4002386
0.5615837	-0.1659065	0.7715549
0.9886764	-0.0314439	0.9854137
0.4676220	0.0887490	0.9649324
-0.8165931	0.1926923	0.7087906
-1.3707275	0.3120308	0.1802444
-1.0902333	0.3169797	-0.3035448
-0.5122197	0.2473220	-0.6832437
-0.8046734	0.1446900	-0.7881602
-1.1960020	-0.0350197	-0.7498031
-1.2498332	-0.1741272	-0.6395813
-1.2350203	-0.3377387	-0.2794742
-1.3453934	-0.2790569	0.0602475
-1.7051467	-0.3073719	0.2831506
-1.3341189	-0.2469766	0.4923380
0.0893496	-0.0138994	0.4482987
1.3777823	0.2048392	0.2620655
1.7095007	0.2162139	0.2075934
1.3304718	0.2637210	-0.0102612
1.2859207	0.2852001	-0.1346669
1.3883123	0.2304737	-0.1603875
1.2477748	0.0476830	-0.0682000
0.7577508	-0.0905700	-0.1163411
0.6860895	-0.1808307	-0.1331131
1.0313853	-0.2699511	-0.0009071
1.3584776	-0.3172522	0.0954052
0.6281572	-0.3005759	0.0350928
-0.4327605	-0.1415425	0.0433098
-0.9796354	0.0075099	0.1206416
-0.6147462	0.1124242	0.0571120
-0.1367929	0.2824036	-0.0330953
-0.0345654	0.3264116	0.0134467
0.0744019	0.2778503	-0.0549137
0.6106831	0.2057554	-0.0386966
0.9873104	0.0011183	0.0557670
0.3546355	-0.0872463	-0.0321892
-0.8288958	-0.2505477	0.0015676
-1.3160699	-0.2551569	0.0066571
-1.0815747	-0.2649084	-0.1122201
-0.5627516	-0.2062459	-0.0293615
-0.7387625	-0.1000615	-0.0362500
-1.2951996	0.7154635	-0.0524414
-1.3570697	1.2349534	0.0120908
-1.2319630	-0.2511241	0.0545698
-1.3300539	-0.8814287	0.0564576
-1.7070642	0.4586443	-0.0295069
-1.3428413	1.3983215	0.0051157
-0.0676636	0.0164352	-0.1027378
1.3951717	-1.3221482	-0.0440678
1.6110325	-0.4674657	-0.0443243
1.3642060	0.7487597	0.1488527
1.2860438	0.1717118	0.1615553
1.3577989	-1.2193208	-0.0175160
1.2430792	-0.7156532	-0.1089842
0.7676554	0.9621664	-0.2905150
0.6902888	1.0947589	-0.1537452
1.1282289	-0.5079467	-0.0610033
1.3827217	-0.6608528	0.3210371
0.7292756	0.8272163	0.2465357
-0.3416828	1.2180431	0.0921611
-0.9453717	-0.3283355	-0.1683609
-0.7016189	-1.2741343	-0.3723633
-0.0832986	-0.0982008	-0.3913547
-0.0292528	0.9044763	0.0542749
0.1066179	-0.1470518	0.3950483
0.6471850	-1.3416273	0.4981307
0.9962400	-0.3475379	0.3067030
0.2861412	1.3129832	-0.2886006
-0.7402979	0.7832222	-0.5976422
-1.3042184	-0.7508584	-0.5197319
-1.0130495	-0.3953378	-0.1469952
-0.6473091	1.0948279	0.4317104
-0.8063978	1.0017677	0.6866932
-1.2155715	-0.7572016	0.4173246
-1.3139696	-1.2633215	-0.1714931
-1.2643173	0.1914942	-0.6917583
-1.4097122	0.8045524	-0.6505097
-1.7422799	-0.3934079	-0.0982912
-1.2937904	-1.3990025	0.5053753
0.0727207	0.0209011	0.7483488
1.3148713	1.4025532	0.5545873
1.7085016	0.5239575	-0.1703277
1.4103612	-0.8797251	-0.6232116
1.1652995	-0.1954079	-0.8018823
1.3441571	1.1917723	-0.2475567
1.3495403	0.7860986	0.3543850
0.7279911	-1.0743584	0.6909941
0.6874970	-0.9940378	0.4778597
0.9636749	0.4175484	-0.0300702
1.3803221	0.7595899	-0.6317623
0.7465217	-0.7846002	-0.5337725
-0.3928482	-1.1504211	-0.1724638
-0.9256926	0.0139783	0.2854465
-0.6701534	0.1928019	0.4669045
-0.1166974	0.2664155	0.4714134
-0.0147369	0.3444542	0.0977420
0.1720485	0.3223502	-0.3307723
0.5942992	0.1311419	-0.4098811
0.9726689	0.0565471	-0.1638760
0.2502982	-0.0909679	0.1803927
-0.7217147	-0.2270790	0.3180929
-1.2868785	-0.2091545	0.3816731
-1.0016515	-0.2861288	0.0260706
-0.5631229	-0.2620002	-0.1626877
-0.7930914	-0.0851052	-0.2421997
-1.3258282	-0.0002199	-0.1257272
-1.3105187	0.2058129	0.0282817
-1.2520566	0.2586316	0.1038003
-1.4802894	0.3598576	0.1704990
-1.6795976	0.2976130	-0.0183518
-1.2675796	0.0548705	-0.1016519
0.0278061	0.0490567	-0.0787331
1.3172077	-0.1744731	-0.1041667
1.7346082	-0.3190737	0.0308605
1.3974454	-0.3143762	0.0054279
1.2543015	-0.3141185	0.0214938
1.3246464	-0.2013171	0.0038795
1.2933056	-0.0524633	-0.0808630
0.8008293	0.0373393	-0.0413143
0.7094355	0.1970031	0.0662751
1.0518344	0.2979269	0.0694803
1.3122409	0.3688218	0.0609531
0.7538038	0.2874397	-0.0525915
-0.4569814	0.1141170	0.0588688
-0.9722061	0.0127274	-0.1159865
-0.5686830	-0.1866525	0.1017083
-0.1580460	-0.2575869	0.0218799
0.0435865	-0.2573005	0.0422294
0.1825397	-0.1907690	-0.0390895
0.6548235	-0.1458522	0.0884008
